"","origin_state","destination_state","dms_orig","dms_dest","sctg2","dms_mode","thousand.tons.in.2023","million.ton.miles.in.2023","Interstate","Million.Trucking.days.needed.","Distance","Export.import.","Partner.country","Import.export.method."
"1","Alabama","Alabama","01-Alabama","01-Alabama","03-Other ag prods.","5-Multiple modes & mail",1.3991,0.2346,0,0.00001955,167.6792224,"Domestic","x","x"
"2","Alabama","Alabama","01-Alabama","01-Alabama","04-Animal feed","5-Multiple modes & mail",5.9937,0.7513,0,0.0000626083,125.3482824,"Domestic","x","x"
"3","Alabama","Alabama","01-Alabama","01-Alabama","05-Meat/seafood","5-Multiple modes & mail",0.0477,0.0029,0,0.000000241667,60.7966457,"Domestic","x","x"
"4","Alabama","Alabama","01-Alabama","01-Alabama","06-Milled grain prods.","5-Multiple modes & mail",0,0,0,0,0,"Domestic","x","x"
"5","Alabama","Alabama","01-Alabama","01-Alabama","07-Other foodstuffs","5-Multiple modes & mail",0.056,0.0082,0,0.000000683333,146.4285714,"Domestic","x","x"
"6","Alabama","Alabama","01-Alabama","01-Alabama","11-Natural sands","5-Multiple modes & mail",1259.4753,157.7982,0,0.01314985,125.2888405,"Domestic","x","x"
"7","Alabama","Alabama","01-Alabama","01-Alabama","12-Gravel","5-Multiple modes & mail",312.8497,35.7714,0,0.00298095,114.3405284,"Domestic","x","x"
"8","Alabama","Alabama","01-Alabama","01-Alabama","13-Nonmetallic minerals","5-Multiple modes & mail",44.1849,5.1225,0,0.000426875,115.9332713,"Domestic","x","x"
"9","Alabama","Alabama","01-Alabama","01-Alabama","16-Crude petroleum","6-Pipeline",52.9387,3.8749,0,0.000322908,73.1959795,"Domestic","x","x"
"10","Alabama","Alabama","01-Alabama","01-Alabama","17-Gasoline","5-Multiple modes & mail",59.7071,7.1521,0,0.000596008,119.7864241,"Domestic","x","x"
"11","Alabama","Alabama","01-Alabama","01-Alabama","18-Fuel oils","6-Pipeline",0.034,0.0007,0,0.0000000583333,20.58823529,"Domestic","x","x"
"12","Alabama","Alabama","01-Alabama","01-Alabama","19-Natural gas and other fossil products","5-Multiple modes & mail",0.0008,0.0001,0,0.00000000833333,125,"Domestic","x","x"
"13","Alabama","Alabama","01-Alabama","01-Alabama","19-Natural gas and other fossil products","6-Pipeline",19500.7352,1471.9741,0,0.122664508,75.48300538,"Domestic","x","x"
"14","Alabama","Alabama","01-Alabama","01-Alabama","20-Basic chemicals","5-Multiple modes & mail",192.9935,38.046,0,0.0031705,197.136173,"Domestic","x","x"
"15","Alabama","Alabama","01-Alabama","01-Alabama","20-Basic chemicals","6-Pipeline",268.7817,29.4267,0,0.002452225,109.4817839,"Domestic","x","x"
"16","Alabama","Alabama","01-Alabama","01-Alabama","21-Pharmaceuticals","5-Multiple modes & mail",12.6271,2.0047,0,0.000167058,158.7617109,"Domestic","x","x"
"17","Alabama","Alabama","01-Alabama","01-Alabama","22-Fertilizers","5-Multiple modes & mail",2.0148,0.3379,0,0.0000281583,167.7089537,"Domestic","x","x"
"18","Alabama","Alabama","01-Alabama","01-Alabama","23-Chemical prods.","5-Multiple modes & mail",1.3599,0.2645,0,0.0000220417,194.4995956,"Domestic","x","x"
"19","Alabama","Alabama","01-Alabama","01-Alabama","24-Plastics/rubber","5-Multiple modes & mail",4.6745,0.7342,0,0.0000611833,157.0649267,"Domestic","x","x"
"20","Alabama","Alabama","01-Alabama","01-Alabama","26-Wood prods.","5-Multiple modes & mail",122.0855,19.9797,0,0.001664975,163.6533413,"Domestic","x","x"
"21","Alabama","Alabama","01-Alabama","01-Alabama","27-Newsprint/paper","5-Multiple modes & mail",59.6994,9.6368,0,0.000803067,161.4220578,"Domestic","x","x"
"22","Alabama","Alabama","01-Alabama","01-Alabama","28-Paper articles","5-Multiple modes & mail",0.622,0.0933,0,0.000007775,150,"Domestic","x","x"
"23","Alabama","Alabama","01-Alabama","01-Alabama","29-Printed prods.","5-Multiple modes & mail",0.4722,0.0374,0,0.00000311667,79.20372723,"Domestic","x","x"
"24","Alabama","Alabama","01-Alabama","01-Alabama","30-Textiles/leather","5-Multiple modes & mail",1.1333,0.2084,0,0.0000173667,183.8877614,"Domestic","x","x"
"25","Alabama","Alabama","01-Alabama","01-Alabama","31-Nonmetal min. prods.","5-Multiple modes & mail",120.1037,8.2077,0,0.000683975,68.33844419,"Domestic","x","x"
"26","Alabama","Alabama","01-Alabama","01-Alabama","32-Base metals","5-Multiple modes & mail",84.4726,21.9986,0,0.001833217,260.4229064,"Domestic","x","x"
"27","Alabama","Alabama","01-Alabama","01-Alabama","33-Articles-base metal","5-Multiple modes & mail",1.9335,0.3221,0,0.0000268417,166.5890871,"Domestic","x","x"
"28","Alabama","Alabama","01-Alabama","01-Alabama","34-Machinery","5-Multiple modes & mail",6.5938,0.7626,0,0.00006355,115.6540993,"Domestic","x","x"
"29","Alabama","Alabama","01-Alabama","01-Alabama","35-Electronics","5-Multiple modes & mail",1.4623,0.239,0,0.0000199167,163.4411543,"Domestic","x","x"
"30","Alabama","Alabama","01-Alabama","01-Alabama","36-Motorized vehicles","5-Multiple modes & mail",3.3332,0.4138,0,0.0000344833,124.1449658,"Domestic","x","x"
"31","Alabama","Alabama","01-Alabama","01-Alabama","37-Transport equip.","5-Multiple modes & mail",6.8138,0.9789,0,0.000081575,143.6643283,"Domestic","x","x"
"32","Alabama","Alabama","01-Alabama","01-Alabama","38-Precision instruments","5-Multiple modes & mail",0.1214,0.0124,0,0.00000103333,102.1416804,"Domestic","x","x"
"33","Alabama","Alabama","01-Alabama","01-Alabama","39-Furniture","5-Multiple modes & mail",0.022,0.0026,0,0.000000216667,118.1818182,"Domestic","x","x"
"34","Alabama","Alabama","01-Alabama","01-Alabama","40-Misc. mfg. prods.","5-Multiple modes & mail",1.6533,0.3615,0,0.000030125,218.6536019,"Domestic","x","x"
"35","Alabama","Alabama","01-Alabama","01-Alabama","43-Mixed freight","5-Multiple modes & mail",6.4605,1.2427,0,0.000103558,192.353533,"Domestic","x","x"
"48","Alabama","Arizona","01-Alabama","04-Arizona","07-Other foodstuffs","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"49","Alabama","Arizona","01-Alabama","04-Arizona","19-Natural gas and other fossil products","5-Multiple modes & mail",0.0001,0.0002,1,0.0000000166667,2000,"Domestic","x","x"
"50","Alabama","Arizona","01-Alabama","04-Arizona","20-Basic chemicals","5-Multiple modes & mail",0.0097,0.0181,1,0.00000150833,1865.979381,"Domestic","x","x"
"51","Alabama","Arizona","01-Alabama","04-Arizona","21-Pharmaceuticals","5-Multiple modes & mail",0.1718,0.3442,1,0.0000286833,2003.492433,"Domestic","x","x"
"52","Alabama","Arizona","01-Alabama","04-Arizona","22-Fertilizers","5-Multiple modes & mail",16.1759,31.0502,1,0.002587517,1919.534616,"Domestic","x","x"
"53","Alabama","Arizona","01-Alabama","04-Arizona","23-Chemical prods.","5-Multiple modes & mail",0.2849,0.5383,1,0.0000448583,1889.434889,"Domestic","x","x"
"54","Alabama","Arizona","01-Alabama","04-Arizona","24-Plastics/rubber","5-Multiple modes & mail",12.111,22.3934,1,0.001866117,1849.013294,"Domestic","x","x"
"55","Alabama","Arizona","01-Alabama","04-Arizona","27-Newsprint/paper","5-Multiple modes & mail",0.3091,0.5814,1,0.00004845,1880.944678,"Domestic","x","x"
"56","Alabama","Arizona","01-Alabama","04-Arizona","29-Printed prods.","5-Multiple modes & mail",0.0001,0.0003,1,0.000000025,3000,"Domestic","x","x"
"57","Alabama","Arizona","01-Alabama","04-Arizona","30-Textiles/leather","5-Multiple modes & mail",0.0549,0.1032,1,0.0000086,1879.781421,"Domestic","x","x"
"58","Alabama","Arizona","01-Alabama","04-Arizona","32-Base metals","5-Multiple modes & mail",0.0055,0.0098,1,0.000000816667,1781.818182,"Domestic","x","x"
"59","Alabama","Arizona","01-Alabama","04-Arizona","33-Articles-base metal","5-Multiple modes & mail",0.025,0.0474,1,0.00000395,1896,"Domestic","x","x"
"60","Alabama","Arizona","01-Alabama","04-Arizona","34-Machinery","5-Multiple modes & mail",0.0673,0.1295,1,0.0000107917,1924.219911,"Domestic","x","x"
"61","Alabama","Arizona","01-Alabama","04-Arizona","35-Electronics","5-Multiple modes & mail",0.9384,1.8674,1,0.000155617,1989.98295,"Domestic","x","x"
"62","Alabama","Arizona","01-Alabama","04-Arizona","36-Motorized vehicles","5-Multiple modes & mail",0.0176,0.0341,1,0.00000284167,1937.5,"Domestic","x","x"
"63","Alabama","Arizona","01-Alabama","04-Arizona","37-Transport equip.","5-Multiple modes & mail",0.0134,0.0245,1,0.00000204167,1828.358209,"Domestic","x","x"
"64","Alabama","Arizona","01-Alabama","04-Arizona","38-Precision instruments","5-Multiple modes & mail",0.0059,0.0117,1,0.000000975,1983.050847,"Domestic","x","x"
"65","Alabama","Arizona","01-Alabama","04-Arizona","39-Furniture","5-Multiple modes & mail",0.0001,0.0002,1,0.0000000166667,2000,"Domestic","x","x"
"66","Alabama","Arizona","01-Alabama","04-Arizona","40-Misc. mfg. prods.","5-Multiple modes & mail",0.0501,0.0938,1,0.00000781667,1872.255489,"Domestic","x","x"
"67","Alabama","Arizona","01-Alabama","04-Arizona","43-Mixed freight","5-Multiple modes & mail",0.0005,0.001,1,0.0000000833333,2000,"Domestic","x","x"
"68","Alabama","Arkansas","01-Alabama","05-Arkansas","04-Animal feed","5-Multiple modes & mail",0.0001,0,1,0,0,"Domestic","x","x"
"69","Alabama","Arkansas","01-Alabama","05-Arkansas","07-Other foodstuffs","5-Multiple modes & mail",0.0001,0,1,0,0,"Domestic","x","x"
"70","Alabama","Arkansas","01-Alabama","05-Arkansas","12-Gravel","5-Multiple modes & mail",256.0285,98.2159,1,0.008184658,383.6131524,"Domestic","x","x"
"71","Alabama","Arkansas","01-Alabama","05-Arkansas","20-Basic chemicals","5-Multiple modes & mail",18.2311,12.5345,1,0.001044542,687.5339393,"Domestic","x","x"
"72","Alabama","Arkansas","01-Alabama","05-Arkansas","21-Pharmaceuticals","5-Multiple modes & mail",0.0349,0.0208,1,0.00000173333,595.9885387,"Domestic","x","x"
"73","Alabama","Arkansas","01-Alabama","05-Arkansas","23-Chemical prods.","5-Multiple modes & mail",2.7463,1.9462,1,0.000162183,708.6625642,"Domestic","x","x"
"74","Alabama","Arkansas","01-Alabama","05-Arkansas","24-Plastics/rubber","5-Multiple modes & mail",0.1322,0.0652,1,0.00000543333,493.1921331,"Domestic","x","x"
"75","Alabama","Arkansas","01-Alabama","05-Arkansas","27-Newsprint/paper","5-Multiple modes & mail",0.0005,0.0002,1,0.0000000166667,400,"Domestic","x","x"
"76","Alabama","Arkansas","01-Alabama","05-Arkansas","28-Paper articles","5-Multiple modes & mail",0.0001,0,1,0,0,"Domestic","x","x"
"77","Alabama","Arkansas","01-Alabama","05-Arkansas","29-Printed prods.","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"78","Alabama","Arkansas","01-Alabama","05-Arkansas","30-Textiles/leather","5-Multiple modes & mail",0.1652,0.0946,1,0.00000788333,572.6392252,"Domestic","x","x"
"79","Alabama","Arkansas","01-Alabama","05-Arkansas","31-Nonmetal min. prods.","5-Multiple modes & mail",28.2146,13.837,1,0.001153083,490.4198536,"Domestic","x","x"
"80","Alabama","Arkansas","01-Alabama","05-Arkansas","32-Base metals","5-Multiple modes & mail",37.4896,27.8559,1,0.002321325,743.030067,"Domestic","x","x"
"81","Alabama","Arkansas","01-Alabama","05-Arkansas","33-Articles-base metal","5-Multiple modes & mail",0.0192,0.0089,1,0.000000741667,463.5416667,"Domestic","x","x"
"82","Alabama","Arkansas","01-Alabama","05-Arkansas","34-Machinery","5-Multiple modes & mail",0.0795,0.0396,1,0.0000033,498.1132075,"Domestic","x","x"
"83","Alabama","Arkansas","01-Alabama","05-Arkansas","35-Electronics","5-Multiple modes & mail",0.0248,0.0141,1,0.000001175,568.5483871,"Domestic","x","x"
"84","Alabama","Arkansas","01-Alabama","05-Arkansas","36-Motorized vehicles","5-Multiple modes & mail",0.0004,0.0002,1,0.0000000166667,500,"Domestic","x","x"
"85","Alabama","Arkansas","01-Alabama","05-Arkansas","37-Transport equip.","5-Multiple modes & mail",0.0029,0.0014,1,0.000000116667,482.7586207,"Domestic","x","x"
"86","Alabama","Arkansas","01-Alabama","05-Arkansas","38-Precision instruments","5-Multiple modes & mail",0.2303,0.1385,1,0.0000115417,601.389492,"Domestic","x","x"
"87","Alabama","Arkansas","01-Alabama","05-Arkansas","40-Misc. mfg. prods.","5-Multiple modes & mail",0.0568,0.0305,1,0.00000254167,536.971831,"Domestic","x","x"
"88","Alabama","Arkansas","01-Alabama","05-Arkansas","43-Mixed freight","5-Multiple modes & mail",0.1165,0.0488,1,0.00000406667,418.8841202,"Domestic","x","x"
"89","Alabama","California","01-Alabama","06-California","03-Other ag prods.","5-Multiple modes & mail",0.0434,0.1058,1,0.00000881667,2437.788018,"Domestic","x","x"
"90","Alabama","California","01-Alabama","06-California","04-Animal feed","5-Multiple modes & mail",0.086,0.2004,1,0.0000167,2330.232558,"Domestic","x","x"
"91","Alabama","California","01-Alabama","06-California","08-Alcoholic beverages","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"92","Alabama","California","01-Alabama","06-California","13-Nonmetallic minerals","5-Multiple modes & mail",19.1721,42.8189,1,0.003568242,2233.396446,"Domestic","x","x"
"93","Alabama","California","01-Alabama","06-California","19-Natural gas and other fossil products","5-Multiple modes & mail",12.5039,32.9661,1,0.002747175,2636.465423,"Domestic","x","x"
"94","Alabama","California","01-Alabama","06-California","20-Basic chemicals","5-Multiple modes & mail",0.034,0.0848,1,0.00000706667,2494.117647,"Domestic","x","x"
"95","Alabama","California","01-Alabama","06-California","21-Pharmaceuticals","5-Multiple modes & mail",0.026,0.0656,1,0.00000546667,2523.076923,"Domestic","x","x"
"96","Alabama","California","01-Alabama","06-California","23-Chemical prods.","5-Multiple modes & mail",1.6314,4.4506,1,0.000370883,2728.086306,"Domestic","x","x"
"97","Alabama","California","01-Alabama","06-California","24-Plastics/rubber","5-Multiple modes & mail",30.4176,72.0845,1,0.006007042,2369.828652,"Domestic","x","x"
"98","Alabama","California","01-Alabama","06-California","26-Wood prods.","5-Multiple modes & mail",0.0544,0.1322,1,0.0000110167,2430.147059,"Domestic","x","x"
"99","Alabama","California","01-Alabama","06-California","27-Newsprint/paper","5-Multiple modes & mail",111.6843,269.2193,1,0.022434942,2410.538455,"Domestic","x","x"
"100","Alabama","California","01-Alabama","06-California","28-Paper articles","5-Multiple modes & mail",0.0001,0.0003,1,0.000000025,3000,"Domestic","x","x"
"101","Alabama","California","01-Alabama","06-California","29-Printed prods.","5-Multiple modes & mail",0.1814,0.4694,1,0.0000391167,2587.651599,"Domestic","x","x"
"102","Alabama","California","01-Alabama","06-California","30-Textiles/leather","5-Multiple modes & mail",3.4339,7.8344,1,0.000652867,2281.487521,"Domestic","x","x"
"103","Alabama","California","01-Alabama","06-California","32-Base metals","5-Multiple modes & mail",32.3312,77.5347,1,0.006461225,2398.13864,"Domestic","x","x"
"104","Alabama","California","01-Alabama","06-California","33-Articles-base metal","5-Multiple modes & mail",0.4918,1.1915,1,0.0000992917,2422.732818,"Domestic","x","x"
"105","Alabama","California","01-Alabama","06-California","34-Machinery","5-Multiple modes & mail",4.0045,9.6079,1,0.000800658,2399.275815,"Domestic","x","x"
"106","Alabama","California","01-Alabama","06-California","35-Electronics","5-Multiple modes & mail",3.3153,8.5499,1,0.000712492,2578.921968,"Domestic","x","x"
"107","Alabama","California","01-Alabama","06-California","36-Motorized vehicles","5-Multiple modes & mail",77.9414,182.7626,1,0.015230217,2344.871917,"Domestic","x","x"
"108","Alabama","California","01-Alabama","06-California","37-Transport equip.","5-Multiple modes & mail",0.0213,0.0515,1,0.00000429167,2417.840376,"Domestic","x","x"
"109","Alabama","California","01-Alabama","06-California","38-Precision instruments","5-Multiple modes & mail",0.0453,0.1147,1,0.00000955833,2532.00883,"Domestic","x","x"
"110","Alabama","California","01-Alabama","06-California","39-Furniture","5-Multiple modes & mail",0.0922,0.2398,1,0.0000199833,2600.867679,"Domestic","x","x"
"111","Alabama","California","01-Alabama","06-California","40-Misc. mfg. prods.","5-Multiple modes & mail",0.1628,0.4053,1,0.000033775,2489.55774,"Domestic","x","x"
"112","Alabama","California","01-Alabama","06-California","43-Mixed freight","5-Multiple modes & mail",2.5831,5.7375,1,0.000478125,2221.168364,"Domestic","x","x"
"113","Alabama","Colorado","01-Alabama","08-Colorado","19-Natural gas and other fossil products","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"114","Alabama","Colorado","01-Alabama","08-Colorado","20-Basic chemicals","5-Multiple modes & mail",0.0064,0.0094,1,0.000000783333,1468.75,"Domestic","x","x"
"115","Alabama","Colorado","01-Alabama","08-Colorado","21-Pharmaceuticals","5-Multiple modes & mail",0.0266,0.0398,1,0.00000331667,1496.240602,"Domestic","x","x"
"116","Alabama","Colorado","01-Alabama","08-Colorado","23-Chemical prods.","5-Multiple modes & mail",0.0376,0.059,1,0.00000491667,1569.148936,"Domestic","x","x"
"117","Alabama","Colorado","01-Alabama","08-Colorado","24-Plastics/rubber","5-Multiple modes & mail",18.0616,26.5675,1,0.002213958,1470.938344,"Domestic","x","x"
"118","Alabama","Colorado","01-Alabama","08-Colorado","26-Wood prods.","5-Multiple modes & mail",66.2941,97.6677,1,0.008138975,1473.248751,"Domestic","x","x"
"119","Alabama","Colorado","01-Alabama","08-Colorado","28-Paper articles","5-Multiple modes & mail",0.0055,0.008,1,0.000000666667,1454.545455,"Domestic","x","x"
"120","Alabama","Colorado","01-Alabama","08-Colorado","29-Printed prods.","5-Multiple modes & mail",0.0004,0.0006,1,0.00000005,1500,"Domestic","x","x"
"121","Alabama","Colorado","01-Alabama","08-Colorado","30-Textiles/leather","5-Multiple modes & mail",1.1864,1.8155,1,0.000151292,1530.259609,"Domestic","x","x"
"122","Alabama","Colorado","01-Alabama","08-Colorado","31-Nonmetal min. prods.","5-Multiple modes & mail",8.0481,12.6389,1,0.001053242,1570.420348,"Domestic","x","x"
"123","Alabama","Colorado","01-Alabama","08-Colorado","33-Articles-base metal","5-Multiple modes & mail",0.5795,0.8423,1,0.0000701917,1453.494392,"Domestic","x","x"
"124","Alabama","Colorado","01-Alabama","08-Colorado","34-Machinery","5-Multiple modes & mail",1.0971,1.7315,1,0.000144292,1578.251755,"Domestic","x","x"
"125","Alabama","Colorado","01-Alabama","08-Colorado","35-Electronics","5-Multiple modes & mail",0.1162,0.1756,1,0.0000146333,1511.187608,"Domestic","x","x"
"126","Alabama","Colorado","01-Alabama","08-Colorado","36-Motorized vehicles","5-Multiple modes & mail",9.3991,14.2799,1,0.001189992,1519.283761,"Domestic","x","x"
"127","Alabama","Colorado","01-Alabama","08-Colorado","37-Transport equip.","5-Multiple modes & mail",0.1956,0.3046,1,0.0000253833,1557.259714,"Domestic","x","x"
"128","Alabama","Colorado","01-Alabama","08-Colorado","38-Precision instruments","5-Multiple modes & mail",0.0003,0.0005,1,0.0000000416667,1666.666667,"Domestic","x","x"
"129","Alabama","Colorado","01-Alabama","08-Colorado","39-Furniture","5-Multiple modes & mail",0,0.0001,1,0.00000000833333,0,"Domestic","x","x"
"130","Alabama","Colorado","01-Alabama","08-Colorado","40-Misc. mfg. prods.","5-Multiple modes & mail",0.0305,0.0451,1,0.00000375833,1478.688525,"Domestic","x","x"
"131","Alabama","Colorado","01-Alabama","08-Colorado","43-Mixed freight","5-Multiple modes & mail",0.0703,0.1027,1,0.00000855833,1460.881935,"Domestic","x","x"
"132","Alabama","Connecticut","01-Alabama","09-Connecticut","03-Other ag prods.","5-Multiple modes & mail",0.0032,0.0046,1,0.000000383333,1437.5,"Domestic","x","x"
"133","Alabama","Connecticut","01-Alabama","09-Connecticut","20-Basic chemicals","5-Multiple modes & mail",0.0024,0.0035,1,0.000000291667,1458.333333,"Domestic","x","x"
"134","Alabama","Connecticut","01-Alabama","09-Connecticut","21-Pharmaceuticals","5-Multiple modes & mail",0.0045,0.0067,1,0.000000558333,1488.888889,"Domestic","x","x"
"135","Alabama","Connecticut","01-Alabama","09-Connecticut","23-Chemical prods.","5-Multiple modes & mail",0.0024,0.0048,1,0.0000004,2000,"Domestic","x","x"
"136","Alabama","Connecticut","01-Alabama","09-Connecticut","24-Plastics/rubber","5-Multiple modes & mail",0.0003,0.0004,1,0.0000000333333,1333.333333,"Domestic","x","x"
"137","Alabama","Connecticut","01-Alabama","09-Connecticut","26-Wood prods.","5-Multiple modes & mail",0.0004,0.0007,1,0.0000000583333,1750,"Domestic","x","x"
"138","Alabama","Connecticut","01-Alabama","09-Connecticut","27-Newsprint/paper","5-Multiple modes & mail",0.0025,0.0034,1,0.000000283333,1360,"Domestic","x","x"
"139","Alabama","Connecticut","01-Alabama","09-Connecticut","29-Printed prods.","5-Multiple modes & mail",0.0005,0.0008,1,0.0000000666667,1600,"Domestic","x","x"
"140","Alabama","Connecticut","01-Alabama","09-Connecticut","30-Textiles/leather","5-Multiple modes & mail",0.0408,0.0572,1,0.00000476667,1401.960784,"Domestic","x","x"
"141","Alabama","Connecticut","01-Alabama","09-Connecticut","32-Base metals","5-Multiple modes & mail",0.0042,0.0058,1,0.000000483333,1380.952381,"Domestic","x","x"
"142","Alabama","Connecticut","01-Alabama","09-Connecticut","33-Articles-base metal","5-Multiple modes & mail",0.102,0.1471,1,0.0000122583,1442.156863,"Domestic","x","x"
"143","Alabama","Connecticut","01-Alabama","09-Connecticut","34-Machinery","5-Multiple modes & mail",0.2155,0.2983,1,0.0000248583,1384.222738,"Domestic","x","x"
"144","Alabama","Connecticut","01-Alabama","09-Connecticut","35-Electronics","5-Multiple modes & mail",0.0282,0.0406,1,0.00000338333,1439.716312,"Domestic","x","x"
"145","Alabama","Connecticut","01-Alabama","09-Connecticut","36-Motorized vehicles","5-Multiple modes & mail",0.0171,0.0234,1,0.00000195,1368.421053,"Domestic","x","x"
"146","Alabama","Connecticut","01-Alabama","09-Connecticut","37-Transport equip.","5-Multiple modes & mail",0.0488,0.0658,1,0.00000548333,1348.360656,"Domestic","x","x"
"147","Alabama","Connecticut","01-Alabama","09-Connecticut","38-Precision instruments","5-Multiple modes & mail",0.0003,0.0005,1,0.0000000416667,1666.666667,"Domestic","x","x"
"148","Alabama","Connecticut","01-Alabama","09-Connecticut","39-Furniture","5-Multiple modes & mail",0.0007,0.001,1,0.0000000833333,1428.571429,"Domestic","x","x"
"149","Alabama","Connecticut","01-Alabama","09-Connecticut","40-Misc. mfg. prods.","5-Multiple modes & mail",0.0421,0.0602,1,0.00000501667,1429.928741,"Domestic","x","x"
"150","Alabama","Connecticut","01-Alabama","09-Connecticut","43-Mixed freight","5-Multiple modes & mail",0.0873,0.126,1,0.0000105,1443.298969,"Domestic","x","x"
"151","Alabama","Delaware","01-Alabama","10-Delaware","21-Pharmaceuticals","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"152","Alabama","Delaware","01-Alabama","10-Delaware","23-Chemical prods.","5-Multiple modes & mail",0.2713,0.4931,1,0.0000410917,1817.545153,"Domestic","x","x"
"153","Alabama","Delaware","01-Alabama","10-Delaware","24-Plastics/rubber","5-Multiple modes & mail",0.0002,0.0004,1,0.0000000333333,2000,"Domestic","x","x"
"154","Alabama","Delaware","01-Alabama","10-Delaware","27-Newsprint/paper","5-Multiple modes & mail",163.3663,153.0167,1,0.012751392,936.6478888,"Domestic","x","x"
"155","Alabama","Delaware","01-Alabama","10-Delaware","29-Printed prods.","5-Multiple modes & mail",0.0024,0.0043,1,0.000000358333,1791.666667,"Domestic","x","x"
"156","Alabama","Delaware","01-Alabama","10-Delaware","30-Textiles/leather","5-Multiple modes & mail",2.159,2.1374,1,0.000178117,989.9953682,"Domestic","x","x"
"157","Alabama","Delaware","01-Alabama","10-Delaware","33-Articles-base metal","5-Multiple modes & mail",0.0029,0.0028,1,0.000000233333,965.5172414,"Domestic","x","x"
"158","Alabama","Delaware","01-Alabama","10-Delaware","34-Machinery","5-Multiple modes & mail",0.0481,0.0454,1,0.00000378333,943.8669439,"Domestic","x","x"
"159","Alabama","Delaware","01-Alabama","10-Delaware","35-Electronics","5-Multiple modes & mail",0.006,0.0059,1,0.000000491667,983.3333333,"Domestic","x","x"
"160","Alabama","Delaware","01-Alabama","10-Delaware","36-Motorized vehicles","5-Multiple modes & mail",0,0,1,0,0,"Domestic","x","x"
"161","Alabama","Delaware","01-Alabama","10-Delaware","38-Precision instruments","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"162","Alabama","Delaware","01-Alabama","10-Delaware","39-Furniture","5-Multiple modes & mail",0.0001,0.0001,1,0.00000000833333,1000,"Domestic","x","x"
"163","Alabama","Delaware","01-Alabama","10-Delaware","40-Misc. mfg. prods.","5-Multiple modes & mail",0.017,0.0157,1,0.00000130833,923.5294118,"Domestic","x","x"
"164","Alabama","Delaware","01-Alabama","10-Delaware","43-Mixed freight","5-Multiple modes & mail",0.0002,0.0002,1,0.0000000166667,1000,"Domestic","x","x"
"174","Alabama","Florida","01-Alabama","12-Florida","03-Other ag prods.","5-Multiple modes & mail",0.0046,0.0025,1,0.000000208333,543.4782609,"Domestic","x","x"
"175","Alabama","Florida","01-Alabama","12-Florida","04-Animal feed","5-Multiple modes & mail",0.3867,0.2125,1,0.0000177083,549.521593,"Domestic","x","x"
