STATE,West Coast,East Coast,Gulf Coast
01-Alabama,,,1
02-Alaska,,,
04-Arizona,,,
05-Arkansas,,,
06-California,1,,
08-Colorado,,,
09-Connecticut,,1,
10-Delaware,,,
11-Washington DC,,,
12-Florida,,,1
13-Georgia,,1,
15-Hawaii,,,
16-Idaho,,,
17-Illinois,,,
18-Indiana,,,
19-Iowa,,,
20-Kansas,,,
21-Kentucky,,,
22-Louisiana,,,1
23-Maine,,1,
24-Maryland,,1,
25-Massachusetts,,1,
26-Michigan,,,
27-Minnesota,,,
28-Mississippi,,,1
29-Missouri,,,
30-Montana,,,
31-Nebraska,,,
32-Nevada,,,
33-New Hampshire,,1,
34-New Jersey,,1,
35-New Mexico,,,
36-New York,,1,
37-North Carolina,,1,
38-North Dakota,,,
39-Ohio,,,
40-Oklahoma,,,
41-Oregon,1,,
42-Pennsylvania,,,
44-Rhode Island,,1,
45-South Carolina,,1,
46-South Dakota,,,
47-Tennessee,,,
48-Texas,,,1
49-Utah,,,
50-Vermont,,,
51-Virginia,,1,
53-Washington,1,,
54-West Virginia,,,
55-Wisconsin,,,
56-Wyoming,,,
