SURPLUS - '000 tonnes,ALL CARGO,16-Crude petroleum,19-Natural gas and other fossil products,Other fuels/liquids,02-Cereal grains
01-Alabama,670,1172.7018,2550.563,1241.1536,3629.8974
02-Alaska,4084,7224.7499,341.4646,0,2.8841
04-Arizona,0,0,0,0,0
05-Arkansas,5645,1698.4428,322.3804,106.2327,256.9147
06-California,17746,14635.7174,1740.8594,4811.279,10.2305
08-Colorado,0,0,0,0,0
09-Connecticut,466,86.9659,169.4339,1179.2975,47.4453
10-Delaware,2608,845.5569,60.8933,1881.9966,46.6446
11-Washington DC,850,0,0,8.6285,0.101
12-Florida,14995,0,381.9474,17265.2787,0
13-Georgia,4015,180.3096,2236.932,2562.5105,10.5371
15-Hawaii,4069,3477.9664,59.8442,1904.3496,19.1151
16-Idaho,3,0,0,0,0
17-Illinois,3295,52.0658,1162.0141,39.8047,153.259
18-Indiana,2045,0,5593.1275,534.963,1278.3946
19-Iowa,348,0,100.7046,135.63,127.887
20-Kansas,0,0,0,0,0
21-Kentucky,14313,1299.849,1782.9449,3968.7043,67.115
22-Louisiana,36514,21759.6648,10732.5025,7885.7573,48577.8474
23-Maine,335,0,102.4325,210.1153,0
24-Maryland,0,0.0305,924.9902,61.3756,0
25-Massachusetts,1007,0,33.1368,983.0941,0
26-Michigan,3063,67.4634,774.9248,538.079,3.1454
27-Minnesota,1056,203.7021,4.1009,243.2065,172.6542
28-Mississippi,11691,6977.1211,3262.7322,1822.203,157.2551
29-Missouri,6322,0,911.606,4510.3797,18.1562
30-Montana,0,0,0,0,0
31-Nebraska,45,0,0.0483,0,0
32-Nevada,0,0,0,0,0
33-New Hampshire,6759,0,754.3126,6647.9403,0.0005
34-New Jersey,19480,6525.0655,5939.9482,21056.1345,52.1733
35-New Mexico,0,0,0,0,0
36-New York,11503,0.0002,3941.7392,7541.4038,763.8178
37-North Carolina,5065,0,4378.0466,272.7433,0.0071
38-North Dakota,0,0,0,0,0
39-Ohio,17766,156.7104,51.9729,11292.0227,1224.8211
40-Oklahoma,69,7.6154,0,0.2638,0
41-Oregon,8884,56.8449,35.3656,512.5455,386.7991
42-Pennsylvania,7162,12546.1325,2415.2178,3923.6757,3.1091
44-Rhode Island,1485,0,17.6852,1483.2096,0
45-South Carolina,668,0.2549,1110.6256,1.398,1.4704
46-South Dakota,1,0,1.1734,0,0
47-Tennessee,19732,17.9786,3001.3915,12392.6172,549.0263
48-Texas,30986,0,5882.7853,61615.4671,1893.2011
49-Utah,0,0,0,0,0
50-Vermont,14,0,0,2.4957,0
51-Virginia,808,368.9227,38.3075,1508.8608,0
53-Washington,13210,14381.0116,230.2223,2703.5346,532.119
54-West Virginia,6137,0,17.3278,518.5852,0
55-Wisconsin,4385,19.2795,275.6573,205.709,2425.7447
56-Wyoming,0,0,0,0,0
