dms_orig,dms_dest,Pair,dms_mode,Million tons in 2023,million ton-miles in 2023,Average distance

01-Alabama,01-Alabama,01-Alabama/01-Alabama,1-Truck,305.6581322,30096.8174,98.46561969

01-Alabama,02-Alaska,01-Alabama/02-Alaska,1-Truck,0,0,-

01-Alabama,04-Arizona,01-Alabama/04-Arizona,1-Truck,0.2566205,434.5379,1693.309381

01-Alabama,05-Arkansas,01-Alabama/05-Arkansas,1-Truck,1.5306165,622.2332,406.5245605

01-Alabama,06-California,01-Alabama/06-California,1-Truck,1.295197,2740.2871,2115.729962

01-Alabama,08-Colorado,01-Alabama/08-Colorado,1-Truck,0.2364788,328.0442,1387.20342

01-Alabama,09-Connecticut,01-Alabama/09-Connecticut,1-Truck,0.1342402,152.8183,1138.39446

01-Alabama,10-Delaware,01-Alabama/10-Delaware,1-Truck,0.071858,63.188,879.3453756

01-Alabama,11-Washington DC,01-Alabama/11-Washington DC,1-Truck,0.0038038,2.9632,779.0104632

01-Alabama,12-Florida,01-Alabama/12-Florida,1-Truck,11.5278877,4221.704,366.216614

01-Alabama,13-Georgia,01-Alabama/13-Georgia,1-Truck,21.6124089,4401.894,203.6743808

01-Alabama,15-Hawaii,01-Alabama/15-Hawaii,1-Truck,0,0,-

01-Alabama,16-Idaho,01-Alabama/16-Idaho,1-Truck,0.085591,177.8236,2077.596944

01-Alabama,17-Illinois,01-Alabama/17-Illinois,1-Truck,2.4086354,1620.7426,672.8883085

01-Alabama,18-Indiana,01-Alabama/18-Indiana,1-Truck,2.1634524,1144.0614,528.8128364

01-Alabama,19-Iowa,01-Alabama/19-Iowa,1-Truck,0.3582575,313.5177,875.1183157

01-Alabama,20-Kansas,01-Alabama/20-Kansas,1-Truck,0.4346774,343.4984,790.2375417

01-Alabama,21-Kentucky,01-Alabama/21-Kentucky,1-Truck,2.939173,1054.5324,358.7854134

01-Alabama,22-Louisiana,01-Alabama/22-Louisiana,1-Truck,3.5942789,1163.7135,323.7682808

01-Alabama,23-Maine,01-Alabama/23-Maine,1-Truck,0.0244975,35.4156,1445.682212

01-Alabama,24-Maryland,01-Alabama/24-Maryland,1-Truck,0.4342202,352.9569,812.852327

